Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
105.88580000000027,1750,,,,-0.724609375,-0.265625,0.15234375,,,11.458093085176552,10.493797488692742,12896,0,120.23890844243337,,84.95586700547238,,,1.97265625,,
105.90866000000015,1750,,,,-1,0.388671875,0.052734375,,,11.457649390034138,10.493404907740878,12886,0,120.2297543405585,,84.8977704101614,,,1.962890625,,
105.94386499999976,1750,,,,-1.09375,-0.357421875,1.123046875,,0.40395331840397003,11.457136029667655,10.483105313060811,12888,0,120.10636358506945,,84.99639059948328,,,1.966796875,,
105.9670549999997,1750,,,,-1.10546875,0.009765625,-0.029296875,,,11.457217199703894,10.483374622415706,12887,0,120.11030003488055,,84.98600946477303,,,1.98046875,,
105.99064500000001,1750,,,,-0.96875,0.564453125,0.267578125,,,11.45706023280751,10.473197398239776,12885,0,119.99205342171602,,85.05951954410105,,,1.98046875,,
106.01401999999955,1750,,,,-1.224609375,-0.5078125,0.40234375,0.07551252640587515,,11.456661745104155,10.472558802999586,12885,0,119.98056381167912,101.89019001477257,84.92224638542197,0.003964594808836874,0.0033668229717440995,1.97265625,,
106.04326999999955,1750,,,,-0.736328125,-0.314453125,-0.45703125,,,11.456034814618175,10.474811760045375,12880,0,119.9998081996517,,84.8774615362068,,,1.98046875,,
106.06603999999957,1750,,,,-1.51171875,0.845703125,0.234375,,,11.455881496498543,10.479554088189431,12890,0,120.05252977044496,,84.90114415918057,,,1.986328125,,
106.0880249999999,1750,,,,-0.8359375,-0.751953125,0.375,,0.40358928622725754,11.455896944592688,10.474443569420623,12881,0,119.99414608323424,,84.88540991444154,,,1.978515625,,
106.11017499999981,1750,,,,-1,1.00390625,0.6015625,,,11.455522210658076,10.47181074883159,12887,0,119.96006061904826,,84.94971418618292,,,1.974609375,,
106.13398499999987,1750,,,,-1,-1.1328125,0.24609375,,,11.455172835013158,10.472965605024898,12877,0,119.96963110070836,,84.87759888961011,,,1.9765625,,
106.15834999999963,1750,,,,-0.974609375,0.4296875,-0.224609375,0.0756695406929655,,11.455082527975978,10.475458981141994,12877,0,119.9972471474087,102.0395668124569,85.03492308211706,0.003955223437679155,0.003363321207956335,1.990234375,,
106.18238499999978,1750,,,,-1.3984375,0.21875,0.3515625,,,11.454761878946464,10.476064707676887,11814,0,120.00082665487363,,78.01317161397527,,,1.98828125,,
106.21185999999987,1750,,,,-0.69921875,-0.6796875,-0.017578125,,,11.454968525894936,10.466509781815404,12687,0,119.89354012666692,,83.8548108029946,,,1.974609375,,
106.23531499999994,1750,,,,-1.125,0.88671875,0.3125,,0.40343342691869044,11.454171253608353,10.466369632409966,12849,0,119.88359017318966,,84.92954536236208,,,1.974609375,,
106.25826500000014,1750,,,,-1.1484375,-0.380859375,0.69921875,,,11.453759088920208,10.465813197168755,12873,0,119.87290303001268,,85.09441464816935,,,1.978515625,,
106.28358499999996,1750,,,,-0.921875,0.515625,0.01171875,,,11.4531356152581,10.473154512437025,12890,0,119.95045895049358,,85.1518735012859,,,1.98046875,,
106.31689500000002,1750,,,,-1.3125,-0.34375,0.3359375,0.07575821790870693,,11.452952529349645,10.47046029718243,12879,0,119.91768474407056,102.17404243379882,85.20348158143615,0.003948492369576992,0.003364252968856944,1.97265625,,
106.3380549999997,1750,,,,-0.677734375,-0.16015625,0.259765625,,,11.452651859072706,10.46326187304117,12883,0,119.8320955422495,,85.28925276027864,,,1.98046875,,
106.35999500000011,1750,,,,-1.421875,0.490234375,-0.564453125,,,11.451925681124035,10.462921542131062,12881,0,119.82059990791659,,85.2875121643967,,,1.98828125,,
106.38244499999983,1750,,,,-1.015625,-0.783203125,0.328125,,0.40316982425764625,11.451786579224343,10.471923550698124,12878,0,119.92223357654811,,85.19296153263744,,,1.978515625,,
