Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message
138.705609999999,1989,,,,-1,-0.048828125,-0.025390625,,,11.748020575681,10.6900599999671,14980,0,125.587044834878,,67.1586441560387,,,0.15234375,
138.730649999999,1990,,,,-1.048828125,-0.041015625,-0.05859375,,,11.7476933606327,10.6898553910587,14973,0,125.581143203663,,67.1315621905736,,,0.15234375,
138.77172,1990,,,,-1.0234375,0.00390625,-0.021484375,0.05409708250807,,11.7471604297491,10.6876237845671,14974,0,125.549231210111,84.8291149775094,67.5664153096602,0.004048166357319,0.002735200893412,0.15234375,
138.794245,1990,,,,-1.046875,0,0.0390625,,,11.7469905529919,10.6880640750428,14975,0,125.5525877193,,67.5671727396765,,,0.15234375,
138.82827,1990,,,,-1.125,0.091796875,0.01171875,,0.343002107743905,11.746715335686,10.6863367996141,14973,0,125.529356366332,,67.5709446106081,,,0.154296875,
138.851529999999,1990,,,,-1.03515625,-0.0625,-0.060546875,,,11.7464183459166,10.6857815923063,14977,0,125.519660936325,,67.5969429029065,,,0.154296875,
138.88508,1990,,,,-1.048828125,-0.00390625,-0.05078125,,,11.747094041173,10.6841407463188,14977,0,125.507606096135,,67.6012708298952,,,0.154296875,
138.907185,1990,,,,-1.072265625,0,0.0546875,0.054328923741918,,11.7471716592236,10.6838749433935,14971,0,125.505312945721,85.176227489749,67.8666308944117,0.004026969940471,0.002732968825728,0.154296875,
138.930545,1991,,,,-1.048828125,0.025390625,0.04296875,,,11.7470517995007,10.6859771598035,14974,0,125.528727224493,,67.8662665539541,,,0.154296875,
138.952365,1991,,,,-1.09375,0.05859375,-0.046875,,,11.7472377213745,10.6860891978695,14974,0,125.532030119185,,67.8666061484072,,,0.154296875,
138.981605,1991,,,,-1.015625,0.01953125,-0.107421875,,0.343978057740246,11.7476730235133,10.6854395542761,14967,0,125.529049996152,,67.8351792799488,,,0.15234375,
